session_id,user_type,entry_page,pages_viewed,time_on_site_sec,device_type,geo_region,referral_source,used_calculator,started_application,completed_application,bounced,dropoff_stage,loan_purpose,propensity_score,zip_code,credit_score,debt,income
session_0,Returning,Learn,4,42,Desktop,Midwest,Email,True,True,True,False,review,Purchase,0.23,38103,719,1332.0,47424.0
session_1,Returning,Learn,7,599,Mobile,Northeast,Direct,False,False,False,True,calculator,Home Equity,0.1,37201,694,829.0,109892.0
session_2,Returning,Home,7,288,Tablet,Midwest,Email,False,True,True,True,submit,Refinance,0.05,33601,713,1872.0,62964.0
session_3,Returning,Learn,3,129,Desktop,South,Google,False,False,True,False,calculator,Refinance,0.14,29401,670,1398.0,87258.0
session_4,Returning,Rates,3,645,Tablet,Northeast,Facebook,False,False,True,True,start_app,Other,0.2,38103,578,1516.0,114110.0
session_5,New,Contact,9,290,Mobile,Midwest,Other,False,True,True,False,none,Refinance,0.42,70112,693,2304.0,108142.0
session_6,New,Home,7,307,Desktop,Northeast,Email,False,False,True,True,none,Other,0.58,38103,771,1490.0,85858.0
session_7,New,Calculator,6,95,Tablet,Northeast,Other,False,True,True,True,start_app,Home Equity,0.32,33601,746,1645.0,75938.0
session_8,New,Home,10,630,Mobile,West,Facebook,True,False,True,True,review,Other,0.14,29401,748,911.0,108688.0
session_9,Returning,Rates,7,837,Desktop,Northeast,Direct,True,True,False,False,calculator,Other,0.94,37201,761,1390.0,101867.0
session_10,Returning,Calculator,3,629,Mobile,Northeast,Facebook,False,False,False,True,review,Home Equity,0.51,33601,704,1805.0,69541.0
session_11,Returning,Contact,9,407,Tablet,West,Other,True,True,False,False,submit,Home Equity,0.74,33601,709,722.0,65128.0
session_12,New,Learn,2,546,Desktop,Midwest,Google,True,True,False,True,review,Home Equity,0.69,70112,669,1600.0,33191.0
session_13,New,Home,8,685,Desktop,South,Direct,False,True,True,True,start_app,Purchase,0.28,75201,684,1550.0,88851.0
session_14,New,Calculator,3,146,Desktop,Northeast,Email,True,True,False,False,none,Refinance,0.56,29401,730,1521.0,82933.0
session_15,New,Home,3,812,Mobile,South,Google,True,True,False,True,start_app,Purchase,0.6,73301,760,2019.0,113405.0
session_16,Returning,Contact,5,528,Mobile,Northeast,Facebook,True,True,True,False,start_app,Other,0.35,33601,693,1667.0,93976.0
session_17,Returning,Home,3,234,Mobile,South,Other,True,False,False,True,calculator,Home Equity,0.67,75201,677,2239.0,118356.0
session_18,New,Calculator,5,616,Mobile,West,Other,False,False,True,False,start_app,Home Equity,0.79,73301,700,1003.0,67566.0
session_19,Returning,Rates,6,109,Tablet,Northeast,Other,True,True,False,False,submit,Purchase,0.36,29401,730,1568.0,113454.0
session_20,New,Calculator,7,47,Mobile,Northeast,Facebook,True,True,False,False,calculator,Other,0.01,30301,627,1542.0,71777.0
session_21,New,Home,7,758,Mobile,Midwest,Direct,False,False,False,True,calculator,Refinance,0.35,75201,585,965.0,104440.0
session_22,New,Contact,6,643,Mobile,Midwest,Email,True,True,True,False,review,Other,0.12,32202,672,1978.0,48531.0
session_23,New,Learn,3,673,Tablet,Northeast,Google,False,False,True,False,start_app,Home Equity,0.16,30301,638,2662.0,90878.0
session_24,Returning,Learn,7,850,Tablet,West,Facebook,True,False,False,True,review,Other,0.37,70112,674,1491.0,35383.0
session_25,Returning,Contact,3,87,Desktop,South,Other,True,True,False,False,review,Purchase,0.21,38103,692,1753.0,78322.0
session_26,New,Home,5,141,Mobile,Midwest,Email,False,True,True,True,calculator,Other,0.93,37201,677,1542.0,96009.0
session_27,New,Contact,5,626,Desktop,Midwest,Other,False,True,True,False,review,Purchase,0.65,32202,772,1143.0,71976.0
session_28,Returning,Home,1,872,Desktop,Midwest,Facebook,False,True,False,False,review,Other,0.52,70112,716,590.0,58739.0
session_29,Returning,Calculator,1,855,Tablet,Midwest,Other,True,False,False,False,calculator,Other,0.01,29401,715,1147.0,106153.0
session_30,New,Rates,4,657,Tablet,West,Facebook,False,False,False,False,calculator,Purchase,0.1,70112,731,804.0,82413.0
session_31,New,Home,4,344,Desktop,Northeast,Other,False,True,False,False,none,Purchase,0.79,38103,643,2352.0,72761.0
session_32,New,Learn,4,191,Desktop,South,Facebook,True,True,True,False,start_app,Refinance,0.39,29401,751,1442.0,86047.0
session_33,New,Learn,3,827,Mobile,Midwest,Other,False,False,False,True,none,Refinance,0.05,32202,696,1327.0,150917.0
session_34,New,Rates,9,353,Tablet,West,Email,True,True,True,True,calculator,Other,0.83,38103,733,1945.0,113838.0
